"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","vagrant"
"Cmdline:","dstat -tcmsn -N eth1 --output /home/Client/client1NetworkUsage.csv",,,,"Date:","27 Dec 2020 05:53:13 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"swap",,"net/eth1",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","used","free","recv","send"
27-12 05:53:13,2.885,1.801,94.750,0.299,0.009,0.257,157618176.0,26271744.0,601710592.0,256364544.0,0.0,0.0,0.0,0.0
27-12 05:53:14,65.990,4.061,29.442,0.0,0.0,0.508,202899456.0,26275840.0,601841664.0,210948096.0,0.0,0.0,0.0,0.0
27-12 05:53:15,72.340,7.979,19.681,0.0,0.0,0.0,157876224.0,26279936.0,601862144.0,255946752.0,0.0,0.0,0.0,0.0
27-12 05:53:16,19.095,0.503,80.402,0.0,0.0,0.0,176312320.0,26279936.0,601849856.0,237522944.0,0.0,0.0,134.0,200.0
27-12 05:53:17,3.077,0.513,96.410,0.0,0.0,0.0,183492608.0,26279936.0,601886720.0,230305792.0,0.0,0.0,132.0,158.0
27-12 05:53:19,0.746,0.373,98.881,0.0,0.0,0.0,183517184.0,26288128.0,601886720.0,230273024.0,0.0,0.0,1056.0,1344.0
27-12 05:53:19,0.0,0.840,99.160,0.0,0.0,0.0,183517184.0,26288128.0,601886720.0,230273024.0,0.0,0.0,858.0,1193.0
27-12 05:53:20,1.130,0.0,98.305,0.0,0.0,0.565,183517184.0,26288128.0,601886720.0,230273024.0,0.0,0.0,1254.0,1518.0
27-12 05:53:21,1.070,0.535,98.396,0.0,0.0,0.0,183517184.0,26288128.0,601886720.0,230273024.0,0.0,0.0,1518.0,2208.0
27-12 05:53:22,1.070,0.535,98.396,0.0,0.0,0.0,183517184.0,26288128.0,601886720.0,230273024.0,0.0,0.0,8047.0,2447.0
27-12 05:53:23,0.0,0.532,98.936,0.0,0.0,0.532,183517184.0,26292224.0,601882624.0,230273024.0,0.0,0.0,1320.0,1937.0
27-12 05:53:24,1.026,0.513,98.462,0.0,0.0,0.0,183611392.0,26292224.0,601886720.0,230174720.0,0.0,0.0,1650.0,2338.0
