"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client3",,,,"User:","vagrant"
"Cmdline:","dstat -tpcdrmgln --time --cpu --mem --load --output /home/Client/client3CPUUsage.csv",,,,"Date:","27 Dec 2020 05:53:53 UTC"

"system","procs",,,"total cpu usage",,,,,,"dsk/total",,"io/total",,"memory usage",,,,"paging",,"load avg",,,"net/total",,"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,
"time","run","blk","new","usr","sys","idl","wai","hiq","siq","read","writ","read","writ","used","buff","cach","free","in","out","1m","5m","15m","recv","send","time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m"
27-12 05:53:53,0.0,0.0,14.307,3.216,2.139,94.008,0.337,0.014,0.287,420365.446,905092.529,18.649,12.973,153722880.0,26128384.0,601550848.0,260562944.0,0.0,0.0,0.050,0.050,0.050,0.0,0.0,27-12 05:53:53,3.216,2.139,94.008,0.337,0.014,0.287,153722880.0,26128384.0,601550848.0,260562944.0,0.050,0.050,0.050
27-12 05:53:54,0.0,0.0,2.0,4.020,3.015,92.462,0.0,0.0,0.503,0.0,0.0,0.0,0.0,158183424.0,26128384.0,601624576.0,256028672.0,0.0,0.0,0.050,0.050,0.050,12522.0,8250.0,27-12 05:53:54,4.020,3.015,92.462,0.0,0.0,0.503,158183424.0,26128384.0,601624576.0,256028672.0,0.050,0.050,0.050
27-12 05:53:55,1.0,0.0,6.0,4.103,2.051,93.333,0.0,0.0,0.513,131072.0,0.0,3.0,0.0,168153088.0,26136576.0,601821184.0,245854208.0,0.0,0.0,0.050,0.050,0.050,14436.0,10096.0,27-12 05:53:55,4.592,2.041,92.857,0.0,0.0,0.510,168153088.0,26136576.0,601821184.0,245854208.0,0.050,0.050,0.050
27-12 05:53:56,2.0,0.0,5.0,61.856,7.216,30.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195252224.0,26136576.0,601841664.0,218734592.0,0.0,0.0,0.290,0.100,0.060,2700.0,1598.0,27-12 05:53:56,61.856,7.216,30.928,0.0,0.0,0.0,195252224.0,26136576.0,601841664.0,218734592.0,0.290,0.100,0.060
27-12 05:53:57,3.0,0.0,0.0,87.568,8.649,3.784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224030720.0,26136576.0,601841664.0,189956096.0,0.0,0.0,0.290,0.100,0.060,150.0,90.0,27-12 05:53:57,87.568,8.649,3.784,0.0,0.0,0.0,224030720.0,26136576.0,601841664.0,189956096.0,0.290,0.100,0.060
27-12 05:53:58,0.0,0.0,11.0,35.028,10.734,53.672,0.565,0.0,0.0,0.0,311296.0,0.0,17.0,177577984.0,26144768.0,601841664.0,236400640.0,0.0,0.0,0.290,0.100,0.060,1574.0,2628.0,27-12 05:53:58,34.659,10.795,53.977,0.568,0.0,0.0,177577984.0,26144768.0,601841664.0,236400640.0,0.290,0.100,0.060
27-12 05:53:59,0.0,0.0,2.0,4.278,0.535,94.652,0.0,0.0,0.535,0.0,0.0,0.0,0.0,184365056.0,26144768.0,601862144.0,229593088.0,0.0,0.0,0.290,0.100,0.060,1080.0,1543.0,27-12 05:53:59,4.278,0.535,94.652,0.0,0.0,0.535,184365056.0,26144768.0,601862144.0,229593088.0,0.290,0.100,0.060
27-12 05:54:00,0.0,0.0,0.0,0.515,0.515,98.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184365056.0,26144768.0,601862144.0,229593088.0,0.0,0.0,0.290,0.100,0.060,2976.0,4636.0,27-12 05:54:00,0.515,0.515,98.969,0.0,0.0,0.0,184365056.0,26144768.0,601862144.0,229593088.0,0.290,0.100,0.060
27-12 05:54:01,0.0,0.0,0.0,0.529,0.0,99.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184365056.0,26144768.0,601862144.0,229593088.0,0.0,0.0,0.260,0.100,0.060,2790.0,4258.0,27-12 05:54:01,1.053,0.0,98.947,0.0,0.0,0.0,184365056.0,26144768.0,601862144.0,229593088.0,0.260,0.100,0.060
27-12 05:54:02,0.0,0.0,0.0,0.513,1.538,97.436,0.0,0.0,0.513,0.0,0.0,0.0,0.0,184524800.0,26144768.0,601862144.0,229433344.0,0.0,0.0,0.260,0.100,0.060,2730.0,4219.0,27-12 05:54:02,0.0,1.538,97.949,0.0,0.0,0.513,184524800.0,26144768.0,601862144.0,229433344.0,0.260,0.100,0.060
27-12 05:54:03,0.0,0.0,0.0,0.526,1.053,97.895,0.0,0.0,0.526,0.0,28672.0,0.0,2.0,184524800.0,26144768.0,601862144.0,229433344.0,0.0,0.0,0.260,0.100,0.060,2778.0,4307.0,27-12 05:54:03,1.053,1.053,97.368,0.0,0.0,0.526,184524800.0,26144768.0,601862144.0,229433344.0,0.260,0.100,0.060
27-12 05:54:04,0.0,0.0,0.0,1.020,0.0,98.469,0.0,0.0,0.510,0.0,0.0,0.0,0.0,184524800.0,26144768.0,601862144.0,229433344.0,0.0,0.0,0.260,0.100,0.060,2730.0,4345.0,27-12 05:54:04,1.020,0.0,98.469,0.0,0.0,0.510,184524800.0,26144768.0,601862144.0,229433344.0,0.260,0.100,0.060
27-12 05:54:05,0.0,0.0,0.0,1.190,0.595,98.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184520704.0,26144768.0,601866240.0,229433344.0,0.0,0.0,0.260,0.100,0.060,1086.0,1529.0,27-12 05:54:05,0.599,0.599,98.802,0.0,0.0,0.0,184520704.0,26144768.0,601866240.0,229433344.0,0.260,0.100,0.060
27-12 05:54:06,0.0,0.0,1.0,0.0,0.0,99.448,0.0,0.0,0.552,0.0,0.0,0.0,0.0,184528896.0,26144768.0,601866240.0,229425152.0,0.0,0.0,0.240,0.100,0.060,274.0,274.0,27-12 05:54:06,0.549,0.0,98.901,0.0,0.0,0.549,184528896.0,26144768.0,601866240.0,229425152.0,0.240,0.100,0.060
27-12 05:54:07,0.0,0.0,0.0,1.227,0.0,98.160,0.0,0.0,0.613,0.0,0.0,0.0,0.0,184512512.0,26144768.0,601866240.0,229441536.0,0.0,0.0,0.240,0.100,0.060,0.0,0.0,27-12 05:54:07,0.617,0.0,98.765,0.0,0.0,0.617,184512512.0,26144768.0,601866240.0,229441536.0,0.240,0.100,0.060
27-12 05:54:08,0.0,0.0,0.0,0.0,0.0,99.487,0.0,0.0,0.513,0.0,208896.0,0.0,36.0,184512512.0,26152960.0,601858048.0,229441536.0,0.0,0.0,0.240,0.100,0.060,0.0,0.0,27-12 05:54:08,0.0,0.0,99.490,0.0,0.0,0.510,184512512.0,26152960.0,601858048.0,229441536.0,0.240,0.100,0.060
27-12 05:54:09,0.0,0.0,0.0,0.595,0.595,98.810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184512512.0,26152960.0,601858048.0,229441536.0,0.0,0.0,0.240,0.100,0.060,0.0,0.0,27-12 05:54:09,0.599,0.599,98.802,0.0,0.0,0.0,184512512.0,26152960.0,601858048.0,229441536.0,0.240,0.100,0.060
27-12 05:54:10,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184504320.0,26152960.0,601866240.0,229441536.0,0.0,0.0,0.240,0.100,0.060,0.0,0.0,27-12 05:54:10,0.500,0.0,99.500,0.0,0.0,0.0,184504320.0,26152960.0,601866240.0,229441536.0,0.240,0.100,0.060
27-12 05:54:11,0.0,0.0,0.0,0.503,0.0,99.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184504320.0,26152960.0,601866240.0,229441536.0,0.0,0.0,0.220,0.100,0.060,60.0,60.0,27-12 05:54:11,0.0,0.0,100.0,0.0,0.0,0.0,184504320.0,26152960.0,601866240.0,229441536.0,0.220,0.100,0.060
27-12 05:54:12,0.0,0.0,0.0,0.0,0.606,99.394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184504320.0,26152960.0,601866240.0,229441536.0,0.0,0.0,0.220,0.100,0.060,0.0,0.0,27-12 05:54:12,0.0,0.606,99.394,0.0,0.0,0.0,184504320.0,26152960.0,601866240.0,229441536.0,0.220,0.100,0.060
27-12 05:54:13,0.0,0.0,0.0,0.500,0.0,99.500,0.0,0.0,0.0,0.0,16384.0,0.0,2.0,184504320.0,26157056.0,601862144.0,229441536.0,0.0,0.0,0.220,0.100,0.060,0.0,0.0,27-12 05:54:13,0.500,0.0,99.500,0.0,0.0,0.0,184504320.0,26157056.0,601862144.0,229441536.0,0.220,0.100,0.060
27-12 05:54:14,0.0,0.0,0.0,0.0,0.505,99.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184500224.0,26157056.0,601866240.0,229441536.0,0.0,0.0,0.220,0.100,0.060,0.0,0.0,27-12 05:54:14,0.503,0.503,98.995,0.0,0.0,0.0,184500224.0,26157056.0,601866240.0,229441536.0,0.220,0.100,0.060
27-12 05:54:15,0.0,0.0,0.0,0.500,0.0,99.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184500224.0,26157056.0,601866240.0,229441536.0,0.0,0.0,0.220,0.100,0.060,0.0,0.0,27-12 05:54:15,0.0,0.0,100.0,0.0,0.0,0.0,184500224.0,26157056.0,601866240.0,229441536.0,0.220,0.100,0.060
