"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client2",,,,"User:","vagrant"
"Cmdline:","dstat -tcmnps --output /home/Client/client2Stat.csv",,,,"Date:","28 Dec 2020 12:39:31 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"procs",,,"swap",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","run","blk","new","used","free"
28-12 12:39:31,1.908,1.274,96.546,0.118,0.005,0.149,153792512.0,26185728.0,601600000.0,260386816.0,0.0,0.0,0.0,0.0,8.096,0.0,0.0
28-12 12:39:32,11.055,31.156,56.281,0.0,0.0,1.508,179740672.0,26193920.0,601862144.0,234168320.0,22326.0,14332.0,1.0,0.0,11.0,0.0,0.0
28-12 12:39:33,50.0,40.104,9.896,0.0,0.0,0.0,212525056.0,26193920.0,601862144.0,201383936.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
28-12 12:39:34,26.866,37.811,35.323,0.0,0.0,0.0,173178880.0,26198016.0,601878528.0,240709632.0,4274.0,6498.0,1.0,0.0,12.0,0.0,0.0
28-12 12:39:35,1.829,2.439,95.732,0.0,0.0,0.0,180129792.0,26198016.0,601878528.0,233758720.0,66.0,70.0,3.0,0.0,2.0,0.0,0.0
28-12 12:39:36,0.922,0.922,97.696,0.461,0.0,0.0,180383744.0,26202112.0,601874432.0,233504768.0,828.0,922.0,3.0,0.0,0.0,0.0,0.0
28-12 12:39:37,0.0,0.552,98.895,0.0,0.0,0.552,180379648.0,26202112.0,601878528.0,233504768.0,453.0,581.0,1.0,0.0,0.0,0.0,0.0
28-12 12:39:38,0.0,0.562,99.438,0.0,0.0,0.0,180379648.0,26202112.0,601878528.0,233504768.0,826.0,1042.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:39,0.0,1.0,99.0,0.0,0.0,0.0,180539392.0,26202112.0,601878528.0,233345024.0,5872.0,8045.0,1.0,0.0,0.0,0.0,0.0
28-12 12:39:40,0.0,0.0,100.0,0.0,0.0,0.0,180604928.0,26202112.0,601878528.0,233279488.0,1673.0,2161.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:41,0.0,2.030,97.970,0.0,0.0,0.0,180604928.0,26210304.0,601870336.0,233279488.0,264.0,353.0,0.0,1.0,0.0,0.0,0.0
28-12 12:39:42,0.505,0.505,98.990,0.0,0.0,0.0,180596736.0,26210304.0,601878528.0,233279488.0,1385.0,1615.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:43,0.0,0.510,99.490,0.0,0.0,0.0,180596736.0,26210304.0,601878528.0,233279488.0,463.0,563.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:44,0.0,0.503,99.497,0.0,0.0,0.0,180596736.0,26210304.0,601878528.0,233279488.0,463.0,589.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:45,0.0,0.500,99.500,0.0,0.0,0.0,180596736.0,26210304.0,601878528.0,233279488.0,974.0,1161.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:46,0.0,0.0,100.0,0.0,0.0,0.0,180596736.0,26210304.0,601878528.0,233279488.0,264.0,331.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:47,0.0,0.0,100.0,0.0,0.0,0.0,180625408.0,26214400.0,601878528.0,233246720.0,463.0,555.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:48,0.0,1.0,99.0,0.0,0.0,0.0,180625408.0,26214400.0,601878528.0,233246720.0,644.0,814.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:49,0.0,0.0,100.0,0.0,0.0,0.0,180625408.0,26214400.0,601878528.0,233246720.0,463.0,567.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:50,0.0,0.500,99.500,0.0,0.0,0.0,180625408.0,26214400.0,601878528.0,233246720.0,463.0,547.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:51,0.0,0.500,99.500,0.0,0.0,0.0,180625408.0,26214400.0,601878528.0,233246720.0,3306.0,5232.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:52,0.0,0.0,99.500,0.0,0.0,0.500,180625408.0,26214400.0,601878528.0,233246720.0,724.0,889.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:53,0.0,0.0,100.0,0.0,0.0,0.0,180617216.0,26222592.0,601878528.0,233246720.0,1018.0,1205.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:54,0.0,0.0,100.0,0.0,0.0,0.0,180617216.0,26222592.0,601878528.0,233246720.0,463.0,543.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:55,0.503,1.005,98.492,0.0,0.0,0.0,180617216.0,26222592.0,601878528.0,233246720.0,20247.0,25520.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:56,0.505,1.010,98.485,0.0,0.0,0.0,180682752.0,26222592.0,601878528.0,233181184.0,35075.0,42219.0,0.0,0.0,0.0,0.0,0.0
28-12 12:39:57,0.0,0.0,100.0,0.0,0.0,0.0,180748288.0,26222592.0,601878528.0,233115648.0,662.0,800.0,0.0,0.0,0.0,0.0,0.0
