"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client3",,,,"User:","vagrant"
"Cmdline:","dstat -tcmnps --output /home/Client/improved/client3Stat.csv",,,,"Date:","28 Dec 2020 22:28:07 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"procs",,,"swap",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","run","blk","new","used","free"
28-12 22:28:07,1.070,0.735,97.965,0.085,0.004,0.142,153448448.0,26275840.0,601985024.0,260255744.0,0.0,0.0,0.000,0.0,4.225,0.0,0.0
28-12 22:28:08,13.990,39.378,44.560,0.0,0.0,2.073,183816192.0,26292224.0,602103808.0,229752832.0,20034.0,12830.0,2.0,0.0,11.0,0.0,0.0
28-12 22:28:09,56.614,36.508,6.878,0.0,0.0,0.0,217862144.0,26292224.0,602152960.0,195657728.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
28-12 22:28:10,62.424,34.545,3.030,0.0,0.0,0.0,153767936.0,26300416.0,602144768.0,259751936.0,4500.0,6878.0,1.0,0.0,2.0,0.0,0.0
28-12 22:28:11,13.542,25.0,61.458,0.0,0.0,0.0,172466176.0,26300416.0,602169344.0,241029120.0,194.0,272.0,0.0,0.0,10.0,0.0,0.0
28-12 22:28:12,0.0,0.0,100.0,0.0,0.0,0.0,174698496.0,26300416.0,602169344.0,238796800.0,0.0,66.0,2.0,0.0,0.0,0.0,0.0
28-12 22:28:13,2.591,2.591,94.301,0.0,0.0,0.518,179671040.0,26300416.0,602169344.0,233824256.0,264.0,337.0,0.0,0.0,2.0,0.0,0.0
28-12 22:28:14,0.0,0.0,100.0,0.0,0.0,0.0,179671040.0,26300416.0,602169344.0,233824256.0,264.0,319.0,0.0,0.0,0.0,0.0,0.0
28-12 22:28:15,0.510,1.020,98.469,0.0,0.0,0.0,179671040.0,26300416.0,602169344.0,233824256.0,8036.0,9738.0,0.0,0.0,0.0,0.0,0.0
28-12 22:28:16,0.0,0.543,99.457,0.0,0.0,0.0,179732480.0,26304512.0,602169344.0,233758720.0,198.0,302.0,1.0,0.0,0.0,0.0,0.0
28-12 22:28:17,0.532,0.532,98.936,0.0,0.0,0.0,179732480.0,26304512.0,602169344.0,233758720.0,50164.0,774.0,2.0,0.0,0.0,0.0,0.0
28-12 22:28:18,5.988,11.377,80.240,0.0,0.0,2.395,184807424.0,26304512.0,602169344.0,228683776.0,372593.0,523360.0,1.0,0.0,0.0,0.0,0.0
28-12 22:28:19,0.0,0.0,99.441,0.0,0.0,0.559,184823808.0,26304512.0,602169344.0,228667392.0,464.0,710.0,0.0,0.0,0.0,0.0,0.0
28-12 22:28:20,0.0,0.549,98.901,0.0,0.0,0.549,184823808.0,26304512.0,602169344.0,228667392.0,268.0,270.0,0.0,0.0,0.0,0.0,0.0
