Id;Response Time
1;1095
2;1031
3;2113
4;2431
5;2862
6;2984
7;3665
8;3666
9;4800
10;5406
11;5626
12;6156
13;6308
14;6357
15;6472
16;6836
17;6854
18;7015
19;7747
20;7675
21;8331
22;8710
23;8850
24;9020
25;10702
26;11430
27;11869
28;12271
29;13978
30;14230
31;14538
32;15151
33;15391
34;15272
35;16035
36;16226
37;16834
38;17224
39;18189
40;18940
41;19929
42;20315
43;21399
44;21668
45;22547
46;22932
47;23290
48;23437
49;23841
50;24079
51;24359
52;24905
53;25134
54;25333
55;25642
56;26258
57;26703
58;27611
59;28275
60;28579
61;29858
62;30607
63;31505
64;32081
65;32540
66;32977
67;33261
68;34596
69;34344
70;35077
71;35296
72;35668
73;35726
74;36563
75;36415
76;36535
77;36949
78;38589
79;38804
80;39312
81;40122
82;40383
83;40646
84;41302
85;41182
86;41077
87;41344
88;41669
89;41591
90;41577
91;41261
92;41106
93;41074
94;40870
95;40569
96;40554
97;40461
98;40061
99;39858
