"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","vagrant"
"Cmdline:","dstat -tcmnps --output /home/Client/modeling/client1Stat.csv",,,,"Date:","28 Dec 2020 22:23:40 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"procs",,,"swap",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","run","blk","new","used","free"
28-12 22:23:40,1.467,1.053,97.254,0.052,0.005,0.169,154554368.0,27684864.0,601948160.0,257777664.0,0.0,0.0,0.0,0.0,4.170,0.0,0.0
28-12 22:23:41,17.460,45.503,35.450,0.0,0.0,1.587,190291968.0,27684864.0,601980928.0,222007296.0,23868.0,14840.0,1.0,0.0,11.0,0.0,0.0
28-12 22:23:42,45.408,35.714,18.878,0.0,0.0,0.0,168980480.0,27684864.0,602009600.0,243290112.0,3060.0,4766.0,2.0,0.0,11.0,0.0,0.0
28-12 22:23:43,9.135,8.654,81.731,0.0,0.0,0.481,175173632.0,27684864.0,601980928.0,237125632.0,7977.0,9783.0,1.0,0.0,1.0,0.0,0.0
28-12 22:23:44,0.0,0.0,100.0,0.0,0.0,0.0,175173632.0,27684864.0,601980928.0,237125632.0,331.0,365.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:45,7.609,13.587,73.370,0.0,0.0,5.435,179875840.0,27684864.0,601980928.0,232423424.0,439442.0,529542.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:46,0.0,0.0,99.390,0.0,0.0,0.610,179900416.0,27693056.0,601980928.0,232390656.0,1190.0,1308.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:47,0.0,0.595,99.405,0.0,0.0,0.0,179900416.0,27693056.0,601980928.0,232390656.0,331.0,388.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:48,0.0,0.541,99.459,0.0,0.0,0.0,179900416.0,27693056.0,601980928.0,232390656.0,525.0,652.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:49,0.0,0.513,99.487,0.0,0.0,0.0,179900416.0,27693056.0,601980928.0,232390656.0,1389.0,1628.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:50,0.0,0.0,100.0,0.0,0.0,0.0,179933184.0,27693056.0,601980928.0,232357888.0,682.0,780.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:51,0.0,0.513,99.487,0.0,0.0,0.0,179933184.0,27701248.0,601972736.0,232357888.0,1552.0,1845.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:52,0.0,0.0,100.0,0.0,0.0,0.0,179933184.0,27701248.0,601972736.0,232357888.0,331.0,395.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:53,2.210,3.867,92.265,0.0,0.0,1.657,180719616.0,27701248.0,601980928.0,231563264.0,68658.0,84247.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:54,0.0,1.010,98.990,0.0,0.0,0.0,180752384.0,27701248.0,601980928.0,231530496.0,22363.0,26772.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:55,0.0,0.0,99.438,0.0,0.0,0.562,180752384.0,27701248.0,601980928.0,231530496.0,1292.0,1470.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:56,0.0,0.0,99.444,0.0,0.0,0.556,180752384.0,27705344.0,601976832.0,231530496.0,1338.0,1406.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:57,0.0,1.093,98.907,0.0,0.0,0.0,180781056.0,27705344.0,601980928.0,231497728.0,10786.0,11553.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:58,0.0,1.667,98.333,0.0,0.0,0.0,180781056.0,27705344.0,601980928.0,231497728.0,996.0,1171.0,1.0,0.0,0.0,0.0,0.0
28-12 22:23:59,0.0,0.0,100.0,0.0,0.0,0.0,180781056.0,27705344.0,601980928.0,231497728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
