"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","vagrant"
"Cmdline:","dstat -tcmnps --output /home/Client/client1WaitingResponseStat.csv",,,,"Date:","28 Dec 2020 13:03:35 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"procs",,,"swap",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","run","blk","new","used","free"
28-12 13:03:35,0.947,0.634,98.313,0.026,0.003,0.076,154488832.0,26460160.0,601866240.0,259149824.0,0.0,0.0,0.0,0.0,3.359,0.0,0.0
28-12 13:03:36,21.762,36.269,41.451,0.0,0.0,0.518,194093056.0,26472448.0,601989120.0,219410432.0,23526.0,15200.0,3.0,0.0,11.0,0.0,0.0
28-12 13:03:37,48.205,37.436,13.846,0.0,0.0,0.513,176295936.0,26472448.0,601997312.0,237199360.0,5540.0,8586.0,2.0,0.0,12.0,0.0,0.0
28-12 13:03:38,3.046,2.030,94.924,0.0,0.0,0.0,176836608.0,26472448.0,601997312.0,236658688.0,1089.0,1315.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:39,1.010,2.525,95.455,0.0,0.0,1.010,178974720.0,26472448.0,601997312.0,234520576.0,73441.0,80830.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:40,0.0,0.518,99.482,0.0,0.0,0.0,179007488.0,26472448.0,601997312.0,234487808.0,3733.0,3900.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:41,0.0,0.505,99.495,0.0,0.0,0.0,179007488.0,26480640.0,601989120.0,234487808.0,373.0,455.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:42,0.510,0.0,98.980,0.0,0.0,0.510,178999296.0,26480640.0,601997312.0,234487808.0,1355.0,1543.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:43,1.015,0.508,98.477,0.0,0.0,0.0,179920896.0,26480640.0,601997312.0,233566208.0,8570.0,9476.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:44,0.0,0.0,100.0,0.0,0.0,0.0,179920896.0,26480640.0,601997312.0,233566208.0,2582.0,3238.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:45,1.010,1.515,96.970,0.0,0.0,0.505,179953664.0,26480640.0,601997312.0,233533440.0,27457.0,31405.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:46,2.073,2.591,94.819,0.0,0.0,0.518,179949568.0,26484736.0,601997312.0,233533440.0,54913.0,69271.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:47,0.518,2.073,96.891,0.0,0.0,0.518,179916800.0,26484736.0,601997312.0,233566208.0,113473.0,127579.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:48,0.0,0.505,99.495,0.0,0.0,0.0,179982336.0,26484736.0,601997312.0,233500672.0,923.0,1182.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:49,0.0,1.015,98.985,0.0,0.0,0.0,179982336.0,26484736.0,601997312.0,233500672.0,364.0,334.0,0.0,0.0,1.0,0.0,0.0
28-12 13:03:50,0.510,1.020,98.469,0.0,0.0,0.0,179982336.0,26484736.0,601997312.0,233500672.0,11579.0,15695.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:51,0.0,0.510,99.490,0.0,0.0,0.0,179982336.0,26488832.0,601993216.0,233500672.0,18721.0,19773.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:52,0.0,0.0,99.487,0.0,0.0,0.513,179945472.0,26488832.0,601997312.0,233533440.0,1939.0,2295.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:53,0.0,0.508,99.492,0.0,0.0,0.0,179945472.0,26488832.0,601997312.0,233533440.0,4736.0,6526.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:54,0.0,0.521,99.479,0.0,0.0,0.0,179978240.0,26488832.0,601997312.0,233500672.0,1272.0,1532.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:55,0.510,0.0,99.490,0.0,0.0,0.0,179879936.0,26488832.0,601997312.0,233598976.0,49875.0,1832.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:56,0.535,2.139,96.257,0.0,0.0,1.070,181944320.0,26488832.0,601997312.0,231534592.0,74847.0,143677.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:57,0.0,1.010,98.485,0.0,0.0,0.505,181907456.0,26492928.0,601997312.0,231567360.0,39086.0,39500.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:58,0.0,0.513,99.487,0.0,0.0,0.0,181907456.0,26492928.0,601997312.0,231567360.0,446.0,504.0,0.0,0.0,0.0,0.0,0.0
28-12 13:03:59,1.020,0.510,98.469,0.0,0.0,0.0,181907456.0,26492928.0,601997312.0,231567360.0,17883.0,23253.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:00,0.0,0.505,99.495,0.0,0.0,0.0,181907456.0,26492928.0,601997312.0,231567360.0,1622.0,2031.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:01,0.0,0.0,100.0,0.0,0.0,0.0,181940224.0,26492928.0,601997312.0,231534592.0,2737.0,3185.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:02,0.0,0.0,100.0,0.0,0.0,0.0,181940224.0,26501120.0,601989120.0,231534592.0,948.0,1081.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:03,0.513,0.0,98.974,0.0,0.0,0.513,181932032.0,26501120.0,601997312.0,231534592.0,1026.0,1161.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:04,0.0,0.500,99.500,0.0,0.0,0.0,181932032.0,26501120.0,601997312.0,231534592.0,380.0,444.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:05,0.505,2.020,97.475,0.0,0.0,0.0,181833728.0,26501120.0,601997312.0,231632896.0,156251.0,180151.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:06,0.0,0.515,99.485,0.0,0.0,0.0,181800960.0,26501120.0,601997312.0,231665664.0,1444.0,1696.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:07,0.0,0.513,99.487,0.0,0.0,0.0,181833728.0,26505216.0,601993216.0,231632896.0,15116.0,17317.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:08,0.0,0.0,100.0,0.0,0.0,0.0,181796864.0,26505216.0,601997312.0,231665664.0,407.0,478.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:09,0.0,0.503,99.497,0.0,0.0,0.0,183926784.0,26505216.0,601997312.0,229535744.0,18708.0,18579.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:10,0.0,0.0,99.487,0.0,0.0,0.513,183926784.0,26505216.0,601997312.0,229535744.0,2263.0,2490.0,1.0,0.0,0.0,0.0,0.0
28-12 13:04:11,0.0,0.0,100.0,0.0,0.0,0.0,183955456.0,26505216.0,602001408.0,229502976.0,2482.0,2794.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:12,1.015,0.508,97.970,0.0,0.0,0.508,183922688.0,26505216.0,602001408.0,229535744.0,34467.0,39813.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:13,0.0,1.554,98.446,0.0,0.0,0.0,183881728.0,26513408.0,602001408.0,229568512.0,23996.0,25682.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:14,0.0,0.532,98.936,0.0,0.0,0.532,183881728.0,26513408.0,602001408.0,229568512.0,1066.0,1193.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:15,0.0,0.0,100.0,0.0,0.0,0.0,183881728.0,26513408.0,602001408.0,229568512.0,439.0,496.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:16,0.0,1.546,97.938,0.0,0.0,0.515,183914496.0,26513408.0,602001408.0,229535744.0,19084.0,19330.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:17,0.0,0.0,100.0,0.0,0.0,0.0,183914496.0,26513408.0,602001408.0,229535744.0,5293.0,5909.0,1.0,0.0,0.0,0.0,0.0
28-12 13:04:18,1.015,0.508,97.462,0.0,0.0,1.015,183947264.0,26517504.0,601997312.0,229502976.0,29687.0,35282.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:19,0.0,1.020,98.469,0.0,0.0,0.510,183975936.0,26517504.0,602001408.0,229470208.0,22609.0,29715.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:20,0.0,0.510,99.490,0.0,0.0,0.0,154468352.0,26517504.0,602001408.0,258977792.0,698.0,914.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:21,0.0,0.500,99.500,0.0,0.0,0.0,154443776.0,26517504.0,601968640.0,259035136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:22,0.0,0.0,99.492,0.0,0.0,0.508,154435584.0,26517504.0,601968640.0,259043328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:23,0.500,0.0,99.500,0.0,0.0,0.0,154431488.0,26525696.0,601964544.0,259043328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:24,0.0,0.495,99.505,0.0,0.0,0.0,154488832.0,26525696.0,601964544.0,258985984.0,300.0,180.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:25,0.0,0.508,99.492,0.0,0.0,0.0,154427392.0,26525696.0,601968640.0,259043328.0,450.0,278.0,0.0,0.0,0.0,0.0,0.0
28-12 13:04:26,0.508,0.508,98.985,0.0,0.0,0.0,154435584.0,26525696.0,601968640.0,259035136.0,870.0,1028.0,0.0,0.0,1.0,0.0,0.0
28-12 13:04:27,0.0,0.0,100.0,0.0,0.0,0.0,154427392.0,26525696.0,601968640.0,259043328.0,300.0,180.0,0.0,0.0,0.0,0.0,0.0
