"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client1",,,,"User:","vagrant"
"Cmdline:","dstat -tcmnps --output /home/Client/notImproved/client1Stat.csv",,,,"Date:","28 Dec 2020 22:23:36 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"procs",,,"swap",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","run","blk","new","used","free"
28-12 22:23:36,1.105,0.356,98.469,0.017,0.001,0.051,154161152.0,26542080.0,602513408.0,258748416.0,0.0,0.0,0.001,0.0,3.738,0.0,0.0
28-12 22:23:37,66.667,1.990,30.846,0.0,0.0,0.498,154329088.0,26542080.0,602513408.0,258580480.0,13176.0,11796.0,0.0,0.0,10.0,0.0,0.0
28-12 22:23:38,0.0,0.0,100.0,0.0,0.0,0.0,154259456.0,26542080.0,602480640.0,258682880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:39,0.0,0.0,100.0,0.0,0.0,0.0,154255360.0,26542080.0,602517504.0,258650112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:40,0.0,0.0,100.0,0.0,0.0,0.0,154255360.0,26542080.0,602517504.0,258650112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:41,0.0,0.0,100.0,0.0,0.0,0.0,154255360.0,26542080.0,602517504.0,258650112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:42,12.755,1.020,86.224,0.0,0.0,0.0,154447872.0,26550272.0,602517504.0,258449408.0,990.0,2166.0,0.0,0.0,11.0,0.0,0.0
28-12 22:23:43,0.0,0.0,100.0,0.0,0.0,0.0,154382336.0,26550272.0,602517504.0,258514944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:44,0.0,0.0,100.0,0.0,0.0,0.0,154374144.0,26550272.0,602517504.0,258523136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:45,0.0,0.0,100.0,0.0,0.0,0.0,154374144.0,26550272.0,602517504.0,258523136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:46,0.0,0.0,100.0,0.0,0.0,0.0,154374144.0,26550272.0,602517504.0,258523136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:47,0.0,0.500,99.500,0.0,0.0,0.0,154374144.0,26554368.0,602517504.0,258519040.0,60.0,60.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:48,0.0,0.0,100.0,0.0,0.0,0.0,154374144.0,26554368.0,602517504.0,258519040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:49,0.0,0.0,100.0,0.0,0.0,0.0,154374144.0,26554368.0,602517504.0,258519040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:50,0.0,0.0,100.0,0.0,0.0,0.0,154374144.0,26554368.0,602517504.0,258519040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:51,0.0,0.0,100.0,0.0,0.0,0.0,154374144.0,26554368.0,602517504.0,258519040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:52,0.0,0.0,100.0,0.0,0.0,0.0,154374144.0,26558464.0,602517504.0,258514944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:53,0.0,0.0,100.0,0.0,0.0,0.0,154374144.0,26558464.0,602517504.0,258514944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:54,0.0,0.0,100.0,0.0,0.0,0.0,154374144.0,26558464.0,602517504.0,258514944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
