Id;Response Time
1;1893
2;2886
3;4173
4;4963
5;6700
6;7494
7;9754
8;11187
9;11975
10;12525
11;13236
12;13688
13;14234
14;14948
15;15406
16;16702
17;17220
18;18102
19;18523
20;19920
21;20982
22;21328
23;22667
24;23120
25;23811
26;24296
27;25788
28;26614
29;27803
30;29419
31;29824
32;31277
33;32257
34;32805
35;33653
36;34131
37;35242
38;35996
39;37513
40;38499
41;39406
42;40369
43;40867
44;41810
45;42611
46;43445
47;44954
48;45662
49;46600
50;47362
51;48390
52;49150
53;49833
54;50663
55;51079
56;52229
57;53481
58;54241
59;55257
60;57060
61;58155
62;59208
63;60053
64;60491
65;61445
66;61879
67;62743
68;64159
69;64637
70;65450
71;66748
72;67805
73;68730
74;69690
75;70814
76;71192
77;71716
78;73633
79;74270
80;74976
81;76105
82;77015
83;77890
84;78872
85;79751
86;80052
87;80578
88;81332
89;81778
90;82402
91;82694
92;82946
93;83248
94;83415
95;83574
96;83808
97;84021
98;84101
99;84287
100;84402
