Id;Response Time
1;1048
2;1885
3;4231
4;5057
5;6907
6;6807
7;7442
8;7411
9;8317
10;8217
11;9238
12;10009
13;9929
14;10451
15;10206
16;11090
17;10973
18;11501
19;12040
20;13105
21;13578
22;14215
23;14945
24;15762
25;16778
26;16677
27;17420
28;18534
29;18692
30;18593
31;20179
32;20079
33;22436
34;23021
35;22922
36;24202
37;24102
38;24937
39;26952
40;28548
41;28446
42;37883
43;37775
44;37674
45;37571
46;37470
47;37368
48;37267
49;37162
50;37059
51;36957
52;36850
53;36750
54;36649
55;36547
56;36446
57;37482
58;39015
59;39972
60;41175
61;41036
62;41646
63;42586
64;42452
65;43971
66;45086
67;44986
68;45682
69;46383
70;46283
71;47035
72;47735
73;48323
74;49012
75;48911
76;49447
77;49346
78;50066
79;49965
80;50833
81;51786
82;51684
83;52563
84;54253
85;55294
86;55193
87;55894
88;56955
89;56855
90;57460
91;60621
92;60520
93;61783
94;61681
95;62268
96;62811
97;62710
98;65928
99;65827
100;68425
