"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server",,,,"User:","vagrant"
"Cmdline:","dstat -tcmnps --output /home/Server/improved/serverStat.csv",,,,"Date:","28 Dec 2020 12:38:37 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"procs",,,"swap",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","run","blk","new","used","free"
28-12 12:38:37,2.432,1.215,96.174,0.058,0.004,0.117,167636992.0,26263552.0,830410752.0,1074618368.0,0.0,0.0,0.0,0.0,6.928,0.0,0.0
28-12 12:38:38,0.508,0.508,98.985,0.0,0.0,0.0,167669760.0,26263552.0,830410752.0,1074585600.0,5040.0,3490.0,0.0,0.0,0.0,0.0,0.0
28-12 12:38:39,0.0,0.0,100.0,0.0,0.0,0.0,167669760.0,26263552.0,830410752.0,1074585600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 12:38:40,0.0,2.030,97.970,0.0,0.0,0.0,161869824.0,26263552.0,604643328.0,1306152960.0,150.0,90.0,1.0,0.0,1.0,0.0,0.0
28-12 12:38:41,0.746,5.224,94.030,0.0,0.0,0.0,163950592.0,26263552.0,692690944.0,1216024576.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28-12 12:38:42,0.645,18.065,80.0,0.0,0.0,1.290,166748160.0,26267648.0,791891968.0,1114021888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 12:38:43,0.0,11.602,88.398,0.0,0.0,0.0,168062976.0,26271744.0,830337024.0,1074257920.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28-12 12:38:44,0.515,0.515,77.320,21.134,0.0,0.515,168132608.0,26279936.0,830423040.0,1074094080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 12:38:48,0.158,0.0,99.842,0.0,0.0,0.0,167702528.0,26279936.0,830427136.0,1074520064.0,7116.0,4224.0,3.0,0.0,0.0,0.0,0.0
28-12 12:38:48,69.565,3.106,27.329,0.0,0.0,0.0,211623936.0,26284032.0,830423040.0,1030598656.0,570.0,824.0,2.0,0.0,12.0,0.0,0.0
28-12 12:38:49,70.0,1.667,25.556,2.778,0.0,0.0,186425344.0,26284032.0,830464000.0,1055756288.0,1500.0,2442.0,2.0,0.0,12.0,0.0,0.0
28-12 12:38:50,78.500,3.0,18.500,0.0,0.0,0.0,184328192.0,26284032.0,830464000.0,1057853440.0,1140.0,1798.0,1.0,0.0,12.0,0.0,0.0
28-12 12:38:51,88.442,3.015,8.543,0.0,0.0,0.0,398295040.0,26284032.0,830464000.0,843886592.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28-12 12:38:52,65.829,5.025,29.146,0.0,0.0,0.0,733519872.0,26284032.0,830464000.0,508661760.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28-12 12:38:53,67.164,4.478,28.358,0.0,0.0,0.0,848162816.0,26284032.0,830464000.0,394018816.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28-12 12:38:54,72.165,1.031,26.804,0.0,0.0,0.0,902950912.0,26284032.0,830464000.0,339230720.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28-12 12:38:55,53.500,3.500,43.0,0.0,0.0,0.0,1071157248.0,26284032.0,830464000.0,171024384.0,120.0,196.0,0.0,0.0,1.0,0.0,0.0
28-12 12:38:56,0.0,0.0,100.0,0.0,0.0,0.0,1071165440.0,26284032.0,830464000.0,171016192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 12:38:57,0.0,0.0,100.0,0.0,0.0,0.0,1071165440.0,26284032.0,830464000.0,171016192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 12:38:58,0.543,0.543,98.913,0.0,0.0,0.0,1071165440.0,26284032.0,830464000.0,171016192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
