"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server",,,,"User:","vagrant"
"Cmdline:","dstat -tcmnps --output /home/Server/modeling/serverStat.csv",,,,"Date:","28 Dec 2020 22:23:14 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"procs",,,"swap",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","run","blk","new","used","free"
28-12 22:23:14,2.770,1.167,95.839,0.073,0.005,0.146,169168896.0,27688960.0,830627840.0,1071443968.0,0.0,0.0,0.0,0.0,3.965,0.0,0.0
28-12 22:23:15,0.641,21.154,77.564,0.0,0.0,0.641,164302848.0,27688960.0,666492928.0,1240444928.0,15798.0,9688.0,1.0,0.0,1.0,0.0,0.0
28-12 22:23:16,0.0,31.707,68.293,0.0,0.0,0.0,166354944.0,27688960.0,742723584.0,1162162176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:17,0.0,25.287,74.138,0.0,0.0,0.575,167858176.0,27693056.0,793636864.0,1109741568.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:18,0.0,4.278,95.722,0.0,0.0,0.0,168431616.0,27693056.0,812277760.0,1090527232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:19,0.0,6.989,55.914,35.484,0.0,1.613,169328640.0,27697152.0,830648320.0,1071255552.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28-12 22:23:21,0.0,0.331,23.179,76.490,0.0,0.0,168992768.0,27705344.0,830648320.0,1071583232.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
28-12 22:23:21,0.0,1.064,97.872,0.0,0.0,1.064,168992768.0,27709440.0,830644224.0,1071583232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:22,0.518,1.036,98.446,0.0,0.0,0.0,168955904.0,27709440.0,830648320.0,1071616000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 22:23:23,12.048,46.988,40.964,0.0,0.0,0.0,192356352.0,27709440.0,830648320.0,1048215552.0,1200.0,1896.0,1.0,0.0,12.0,0.0,0.0
28-12 22:23:24,23.077,45.513,31.410,0.0,0.0,0.0,209100800.0,27709440.0,830681088.0,1031438336.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
28-12 22:23:25,53.143,31.429,15.429,0.0,0.0,0.0,181334016.0,27713536.0,830676992.0,1059205120.0,1140.0,1910.0,1.0,0.0,12.0,0.0,0.0
28-12 22:23:26,43.655,41.117,15.228,0.0,0.0,0.0,225357824.0,27713536.0,830681088.0,1015177216.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
