"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server",,,,"User:","vagrant"
"Cmdline:","dstat -tpcdrmgln --time --cpu --mem --load --output /home/Server/serverCPUUsage.csv",,,,"Date:","27 Dec 2020 05:52:32 UTC"

"system","procs",,,"total cpu usage",,,,,,"dsk/total",,"io/total",,"memory usage",,,,"paging",,"load avg",,,"net/total",,"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,
"time","run","blk","new","usr","sys","idl","wai","hiq","siq","read","writ","read","writ","used","buff","cach","free","in","out","1m","5m","15m","recv","send","time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m"
27-12 05:52:32,0.001,0.0,9.489,2.143,1.487,96.067,0.121,0.009,0.174,279089.820,599593.660,12.372,8.398,159297536.0,26107904.0,601731072.0,1311793152.0,0.0,0.0,0.0,0.010,0.050,0.0,0.0,27-12 05:52:32,2.143,1.487,96.067,0.121,0.009,0.174,159576064.0,26107904.0,601731072.0,1311514624.0,0.0,0.010,0.050
27-12 05:52:33,1.0,0.0,2.0,4.636,17.881,76.821,0.0,0.0,0.662,131072.0,0.0,3.0,0.0,165371904.0,26112000.0,669343744.0,1238102016.0,0.0,0.0,0.0,0.010,0.050,17898.0,11688.0,27-12 05:52:33,4.667,18.0,76.667,0.0,0.0,0.667,165371904.0,26112000.0,669343744.0,1238102016.0,0.0,0.010,0.050
27-12 05:52:34,1.0,0.0,0.0,0.0,29.586,70.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167673856.0,26112000.0,748285952.0,1156857856.0,0.0,0.0,0.0,0.010,0.050,150.0,90.0,27-12 05:52:34,0.0,29.586,70.414,0.0,0.0,0.0,167673856.0,26112000.0,748285952.0,1156857856.0,0.0,0.010,0.050
27-12 05:52:35,1.0,0.0,0.0,0.0,25.949,72.152,0.0,0.0,1.899,0.0,54530048.0,0.0,105.0,169803776.0,26112000.0,821317632.0,1081696256.0,0.0,0.0,0.080,0.030,0.050,0.0,0.0,27-12 05:52:35,0.0,25.949,72.152,0.0,0.0,1.899,169693184.0,26112000.0,821571584.0,1081552896.0,0.080,0.030,0.050
27-12 05:52:36,1.0,0.0,12.0,18.229,43.229,38.542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204537856.0,26116096.0,829845504.0,1038430208.0,0.0,0.0,0.080,0.030,0.050,1380.0,2158.0,27-12 05:52:36,18.229,43.229,38.542,0.0,0.0,0.0,204537856.0,26116096.0,829845504.0,1038430208.0,0.080,0.030,0.050
27-12 05:52:37,1.0,0.0,12.0,53.030,32.323,14.646,0.0,0.0,0.0,0.0,32768.0,0.0,1.0,184336384.0,26116096.0,829845504.0,1058631680.0,0.0,0.0,0.080,0.030,0.050,1380.0,2270.0,27-12 05:52:37,53.030,32.323,14.646,0.0,0.0,0.0,184336384.0,26116096.0,829845504.0,1058631680.0,0.080,0.030,0.050
27-12 05:52:38,2.0,0.0,0.0,38.806,45.274,15.920,0.0,0.0,0.0,0.0,147456.0,0.0,3.0,223944704.0,26116096.0,829849600.0,1019019264.0,0.0,0.0,0.080,0.030,0.050,0.0,0.0,27-12 05:52:38,38.806,45.274,15.920,0.0,0.0,0.0,223944704.0,26116096.0,829849600.0,1019019264.0,0.080,0.030,0.050
27-12 05:52:39,2.0,0.0,12.0,55.612,30.612,13.776,0.0,0.0,0.0,0.0,32768.0,0.0,1.0,307970048.0,26120192.0,829857792.0,934981632.0,0.0,0.0,0.080,0.030,0.050,1140.0,1798.0,27-12 05:52:39,55.612,30.612,13.776,0.0,0.0,0.0,310067200.0,26120192.0,829857792.0,932884480.0,0.080,0.030,0.050
27-12 05:52:40,2.0,0.0,0.0,61.579,21.579,9.474,3.158,0.0,4.211,0.0,104857600.0,0.0,200.0,426004480.0,26124288.0,829853696.0,816947200.0,0.0,0.0,0.160,0.050,0.060,0.0,0.0,27-12 05:52:40,61.780,21.466,9.424,3.141,0.0,4.188,426004480.0,26124288.0,829853696.0,816947200.0,0.160,0.050,0.060
27-12 05:52:41,2.0,0.0,0.0,53.571,25.510,19.388,0.0,0.0,1.531,0.0,35127296.0,0.0,67.0,665534464.0,26124288.0,829865984.0,577404928.0,0.0,0.0,0.160,0.050,0.060,0.0,0.0,27-12 05:52:41,53.333,25.641,19.487,0.0,0.0,1.538,665534464.0,26124288.0,829865984.0,577404928.0,0.160,0.050,0.060
27-12 05:52:42,1.0,0.0,0.0,57.068,17.801,24.607,0.0,0.0,0.524,0.0,33349632.0,0.0,64.0,805556224.0,26124288.0,829865984.0,437383168.0,0.0,0.0,0.160,0.050,0.060,0.0,0.0,27-12 05:52:42,57.292,17.708,24.479,0.0,0.0,0.521,805556224.0,26124288.0,829865984.0,437383168.0,0.160,0.050,0.060
27-12 05:52:43,2.0,0.0,0.0,70.103,10.825,19.072,0.0,0.0,0.0,0.0,77824.0,0.0,2.0,879013888.0,26128384.0,829865984.0,363921408.0,0.0,0.0,0.160,0.050,0.060,0.0,0.0,27-12 05:52:43,69.948,10.881,19.171,0.0,0.0,0.0,879013888.0,26128384.0,829865984.0,363921408.0,0.160,0.050,0.060
27-12 05:52:44,2.0,0.0,0.0,75.758,7.071,17.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918282240.0,26128384.0,829870080.0,324648960.0,0.0,0.0,0.160,0.050,0.060,0.0,0.0,27-12 05:52:44,75.758,7.071,17.172,0.0,0.0,0.0,918282240.0,26128384.0,829870080.0,324648960.0,0.160,0.050,0.060
27-12 05:52:45,1.0,0.0,0.0,60.714,13.776,25.510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015193600.0,26128384.0,829870080.0,227737600.0,0.0,0.0,0.220,0.060,0.060,0.0,0.0,27-12 05:52:45,60.714,13.776,25.510,0.0,0.0,0.0,1015193600.0,26128384.0,829870080.0,227737600.0,0.220,0.060,0.060
27-12 05:52:46,0.0,0.0,1.0,24.870,8.290,66.839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080586240.0,26128384.0,829870080.0,162344960.0,0.0,0.0,0.220,0.060,0.060,60.0,114.0,27-12 05:52:46,24.870,8.290,66.839,0.0,0.0,0.0,1080586240.0,26128384.0,829870080.0,162344960.0,0.220,0.060,0.060
27-12 05:52:47,0.0,0.0,0.0,0.500,0.0,99.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080594432.0,26128384.0,829870080.0,162336768.0,0.0,0.0,0.220,0.060,0.060,0.0,0.0,27-12 05:52:47,0.500,0.0,99.500,0.0,0.0,0.0,1080594432.0,26128384.0,829870080.0,162336768.0,0.220,0.060,0.060
27-12 05:52:48,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,0.0,2.0,1080594432.0,26128384.0,829870080.0,162336768.0,0.0,0.0,0.220,0.060,0.060,0.0,0.0,27-12 05:52:48,0.0,0.0,100.0,0.0,0.0,0.0,1080594432.0,26128384.0,829870080.0,162336768.0,0.220,0.060,0.060
27-12 05:52:49,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080594432.0,26128384.0,829870080.0,162336768.0,0.0,0.0,0.220,0.060,0.060,0.0,0.0,27-12 05:52:49,0.0,0.500,99.500,0.0,0.0,0.0,1080594432.0,26128384.0,829870080.0,162336768.0,0.220,0.060,0.060
27-12 05:52:50,0.0,0.0,0.0,0.0,0.503,99.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080594432.0,26128384.0,829870080.0,162336768.0,0.0,0.0,0.210,0.060,0.060,0.0,0.0,27-12 05:52:50,0.0,0.0,100.0,0.0,0.0,0.0,1080594432.0,26128384.0,829870080.0,162336768.0,0.210,0.060,0.060
27-12 05:52:51,0.0,0.0,0.0,0.500,0.500,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080594432.0,26128384.0,829870080.0,162336768.0,0.0,0.0,0.210,0.060,0.060,0.0,0.0,27-12 05:52:51,0.498,0.498,99.005,0.0,0.0,0.0,1080594432.0,26128384.0,829870080.0,162336768.0,0.210,0.060,0.060
27-12 05:52:52,0.0,0.0,0.0,0.500,0.0,99.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080594432.0,26128384.0,829870080.0,162336768.0,0.0,0.0,0.210,0.060,0.060,0.0,0.0,27-12 05:52:52,0.503,0.0,99.497,0.0,0.0,0.0,1080594432.0,26128384.0,829870080.0,162336768.0,0.210,0.060,0.060
27-12 05:52:53,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1080594432.0,26128384.0,829870080.0,162336768.0,0.0,0.0,0.210,0.060,0.060,0.0,0.0,27-12 05:52:53,0.0,0.0,100.0,0.0,0.0,0.0,1080594432.0,26128384.0,829870080.0,162336768.0,0.210,0.060,0.060
27-12 05:52:54,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,0.0,2.0,1080590336.0,26132480.0,829870080.0,162336768.0,0.0,0.0,0.210,0.060,0.060,0.0,0.0,27-12 05:52:54,0.0,0.0,100.0,0.0,0.0,0.0,1080590336.0,26132480.0,829870080.0,162336768.0,0.210,0.060,0.060
