"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server",,,,"User:","vagrant"
"Cmdline:","dstat -tcmsn -N eth1 --output /home/Server/serverNetworkUsage.csv",,,,"Date:","28 Dec 2020 00:02:01 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"swap",,"net/eth1",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","used","free","recv","send"
28-12 00:02:01,3.769,2.251,93.536,0.133,0.019,0.291,163786752.0,26140672.0,601808896.0,1307193344.0,0.0,0.0,0.0,0.0
28-12 00:02:02,0.606,15.152,83.636,0.0,0.0,0.606,165789696.0,26144768.0,675287040.0,1231708160.0,0.0,0.0,0.0,0.0
28-12 00:02:03,0.0,29.448,70.552,0.0,0.0,0.0,168087552.0,26144768.0,762462208.0,1142235136.0,0.0,0.0,0.0,0.0
28-12 00:02:04,0.585,18.713,76.608,0.0,0.585,3.509,169623552.0,26144768.0,824336384.0,1078824960.0,0.0,0.0,0.0,0.0
28-12 00:02:05,0.0,3.109,96.891,0.0,0.0,0.0,170033152.0,26152960.0,829784064.0,1072959488.0,0.0,0.0,0.0,0.0
28-12 00:02:06,66.497,7.107,26.396,0.0,0.0,0.0,220553216.0,26157056.0,829849600.0,1022369792.0,0.0,0.0,0.0,0.0
28-12 00:02:07,73.469,9.184,16.837,0.0,0.0,0.510,193245184.0,26157056.0,829857792.0,1049669632.0,0.0,0.0,0.0,0.0
28-12 00:02:08,83.616,7.345,9.040,0.0,0.0,0.0,233537536.0,26157056.0,829857792.0,1009377280.0,0.0,0.0,0.0,0.0
28-12 00:02:09,73.514,5.946,8.108,11.351,0.0,1.081,205053952.0,26165248.0,829874176.0,1037836288.0,0.0,0.0,0.0,0.0
28-12 00:02:10,82.162,16.757,0.541,0.0,0.0,0.541,359751680.0,26169344.0,829874176.0,883134464.0,0.0,0.0,0.0,0.0
28-12 00:02:11,47.260,13.014,28.082,9.589,0.0,2.055,468631552.0,26173440.0,829874176.0,774250496.0,0.0,0.0,0.0,0.0
28-12 00:02:12,47.093,15.116,37.791,0.0,0.0,0.0,586575872.0,26173440.0,829878272.0,656302080.0,0.0,0.0,0.0,0.0
28-12 00:02:13,76.437,18.391,5.172,0.0,0.0,0.0,706871296.0,26173440.0,829878272.0,536006656.0,0.0,0.0,0.0,0.0
28-12 00:02:14,46.392,10.309,43.299,0.0,0.0,0.0,785993728.0,26173440.0,829878272.0,456884224.0,0.0,0.0,0.0,0.0
28-12 00:02:15,62.944,8.122,28.934,0.0,0.0,0.0,846188544.0,26177536.0,829878272.0,396685312.0,0.0,0.0,0.0,0.0
28-12 00:02:16,80.513,9.231,9.744,0.0,0.0,0.513,917409792.0,26177536.0,829878272.0,325464064.0,0.0,0.0,0.0,0.0
28-12 00:02:17,53.299,6.091,40.609,0.0,0.0,0.0,973459456.0,26177536.0,829878272.0,269414400.0,0.0,0.0,0.0,0.0
28-12 00:02:18,51.744,11.628,36.628,0.0,0.0,0.0,1051308032.0,26177536.0,829878272.0,191565824.0,0.0,0.0,0.0,0.0
28-12 00:02:19,18.848,4.712,76.440,0.0,0.0,0.0,1089310720.0,26177536.0,829878272.0,153563136.0,0.0,0.0,0.0,0.0
28-12 00:02:20,0.0,0.505,99.495,0.0,0.0,0.0,1089318912.0,26181632.0,829874176.0,153554944.0,0.0,0.0,0.0,0.0
28-12 00:02:21,0.503,0.503,98.995,0.0,0.0,0.0,1089318912.0,26181632.0,829874176.0,153554944.0,0.0,0.0,0.0,0.0
28-12 00:02:22,0.503,0.0,99.497,0.0,0.0,0.0,1089314816.0,26181632.0,829878272.0,153554944.0,0.0,0.0,0.0,0.0
28-12 00:02:23,0.500,0.500,99.0,0.0,0.0,0.0,1089314816.0,26181632.0,829878272.0,153554944.0,0.0,0.0,0.0,0.0
28-12 00:02:24,0.0,0.0,100.0,0.0,0.0,0.0,1089314816.0,26181632.0,829878272.0,153554944.0,0.0,0.0,0.0,0.0
28-12 00:02:25,0.503,0.0,99.497,0.0,0.0,0.0,1089314816.0,26181632.0,829878272.0,153554944.0,0.0,0.0,0.0,0.0
28-12 00:02:26,0.0,0.0,100.0,0.0,0.0,0.0,1089441792.0,26185728.0,829874176.0,153427968.0,0.0,0.0,0.0,0.0
28-12 00:02:27,0.0,0.0,100.0,0.0,0.0,0.0,1089433600.0,26185728.0,829882368.0,153427968.0,0.0,0.0,0.0,0.0
28-12 00:02:28,0.503,0.0,99.497,0.0,0.0,0.0,1089433600.0,26185728.0,829882368.0,153427968.0,0.0,0.0,0.0,0.0
28-12 00:02:29,0.0,0.0,100.0,0.0,0.0,0.0,1089433600.0,26185728.0,829882368.0,153427968.0,0.0,0.0,0.0,0.0
28-12 00:02:30,0.513,0.0,98.974,0.0,0.0,0.513,1089433600.0,26185728.0,829882368.0,153427968.0,0.0,0.0,0.0,0.0
28-12 00:02:31,0.0,0.503,99.497,0.0,0.0,0.0,1089429504.0,26189824.0,829882368.0,153427968.0,0.0,0.0,0.0,0.0
28-12 00:02:32,0.0,0.0,100.0,0.0,0.0,0.0,1089429504.0,26189824.0,829882368.0,153427968.0,0.0,0.0,0.0,0.0
28-12 00:02:33,0.508,0.0,99.492,0.0,0.0,0.0,1089429504.0,26189824.0,829882368.0,153427968.0,0.0,0.0,0.0,0.0
28-12 00:02:34,0.505,0.0,99.495,0.0,0.0,0.0,1089429504.0,26189824.0,829882368.0,153427968.0,0.0,0.0,0.0,0.0
28-12 00:02:35,0.505,0.0,99.495,0.0,0.0,0.0,1089429504.0,26189824.0,829882368.0,153427968.0,0.0,0.0,0.0,0.0
28-12 00:02:36,0.0,0.510,99.490,0.0,0.0,0.0,1089429504.0,26193920.0,829878272.0,153427968.0,0.0,0.0,0.0,0.0
28-12 00:02:37,0.0,0.510,99.490,0.0,0.0,0.0,1089425408.0,26193920.0,829882368.0,153427968.0,0.0,0.0,0.0,0.0
28-12 00:02:38,0.503,0.0,99.497,0.0,0.0,0.0,1089425408.0,26193920.0,829882368.0,153427968.0,0.0,0.0,0.0,0.0
28-12 00:02:39,0.513,0.0,99.487,0.0,0.0,0.0,1089687552.0,26193920.0,829882368.0,153165824.0,0.0,0.0,200.0,134.0
28-12 00:02:40,27.979,3.627,64.767,3.109,0.0,0.518,1114976256.0,26193920.0,829886464.0,127873024.0,0.0,0.0,390.0,264.0
