"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server",,,,"User:","vagrant"
"Cmdline:","dstat -tcmnps --output /home/Server/serverStat.csv",,,,"Date:","28 Dec 2020 13:00:02 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"net/total",,"procs",,,"swap",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","recv","send","run","blk","new","used","free"
28-12 13:00:02,3.425,0.690,95.755,0.045,0.002,0.082,168366080.0,26574848.0,830418944.0,1073569792.0,0.0,0.0,0.0,0.0,3.518,0.0,0.0
28-12 13:00:03,0.617,9.259,89.506,0.0,0.0,0.617,162922496.0,26574848.0,641249280.0,1268183040.0,12222.0,7692.0,1.0,0.0,1.0,0.0,0.0
28-12 13:00:04,0.0,12.422,87.578,0.0,0.0,0.0,165007360.0,26583040.0,720605184.0,1186734080.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28-12 13:00:05,0.0,14.557,84.810,0.0,0.0,0.633,167567360.0,26583040.0,805072896.0,1099706368.0,150.0,90.0,1.0,0.0,0.0,0.0,0.0
28-12 13:00:06,0.0,3.804,96.196,0.0,0.0,0.0,167800832.0,26583040.0,817815552.0,1086730240.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28-12 13:00:07,0.0,2.703,70.811,25.405,0.0,1.081,168513536.0,26591232.0,830447616.0,1073377280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 13:00:09,0.0,0.219,99.781,0.0,0.0,0.0,168210432.0,26599424.0,830443520.0,1073676288.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28-12 13:00:10,16.296,45.926,37.778,0.0,0.0,0.0,194293760.0,26603520.0,830488576.0,1047543808.0,1380.0,2158.0,1.0,0.0,12.0,0.0,0.0
28-12 13:00:11,44.670,40.102,15.228,0.0,0.0,0.0,182669312.0,26603520.0,830488576.0,1059168256.0,1380.0,2270.0,1.0,0.0,12.0,0.0,0.0
28-12 13:00:12,46.939,38.265,14.796,0.0,0.0,0.0,229867520.0,26603520.0,830488576.0,1011970048.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
28-12 13:00:13,60.101,26.263,13.636,0.0,0.0,0.0,288661504.0,26603520.0,830488576.0,953176064.0,480.0,832.0,2.0,0.0,12.0,0.0,0.0
28-12 13:00:14,66.162,7.576,26.263,0.0,0.0,0.0,659791872.0,26603520.0,830488576.0,582045696.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28-12 13:00:15,62.500,3.500,34.0,0.0,0.0,0.0,805253120.0,26611712.0,830480384.0,436584448.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28-12 13:00:16,82.587,2.985,14.428,0.0,0.0,0.0,922365952.0,26611712.0,830488576.0,319463424.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28-12 13:00:17,63.959,3.046,32.995,0.0,0.0,0.0,964620288.0,26611712.0,830492672.0,277204992.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28-12 13:00:18,40.201,2.513,57.286,0.0,0.0,0.0,1076830208.0,26611712.0,830492672.0,164995072.0,60.0,114.0,0.0,0.0,1.0,0.0,0.0
28-12 13:00:19,0.0,0.0,100.0,0.0,0.0,0.0,1076797440.0,26611712.0,830492672.0,165027840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 13:00:20,0.0,0.505,99.495,0.0,0.0,0.0,1076797440.0,26611712.0,830492672.0,165027840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 13:00:21,0.0,0.500,99.0,0.0,0.0,0.500,1076789248.0,26619904.0,830492672.0,165027840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 13:00:22,0.505,0.0,99.495,0.0,0.0,0.0,1076789248.0,26619904.0,830492672.0,165027840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 13:00:23,0.0,0.0,100.0,0.0,0.0,0.0,1076789248.0,26619904.0,830492672.0,165027840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 13:00:24,0.498,0.498,99.005,0.0,0.0,0.0,1076789248.0,26619904.0,830492672.0,165027840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 13:00:25,0.0,0.0,100.0,0.0,0.0,0.0,1076924416.0,26619904.0,830492672.0,164892672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 13:00:26,0.0,0.500,99.500,0.0,0.0,0.0,1076924416.0,26628096.0,830484480.0,164892672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 13:00:27,0.0,0.503,99.497,0.0,0.0,0.0,1076916224.0,26628096.0,830492672.0,164892672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 13:00:28,0.0,0.0,100.0,0.0,0.0,0.0,1076916224.0,26628096.0,830492672.0,164892672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28-12 13:00:29,0.0,1.198,98.802,0.0,0.0,0.0,1076916224.0,26628096.0,830492672.0,164892672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
